Date,DayOfWeek,School,Enrollment,Attendance,Hamburger,Pizza,HotDog,Skipped
2015-11-03,02-Tue,South Arthur High,414,403,220,118,19,46
2015-11-03,02-Tue,South Truman H.S.,319,316,131,100,32,53
2015-11-03,02-Tue,East Washington H.S.,212,208,49,75,34,50
2015-11-03,02-Tue,East York High,126,119,9,40,45,25
2015-11-03,02-Tue,South Washington High,332,257,118,22,102,15
2015-11-04,03-Wed,North Roosevelt M.S.,485,467,222,124,94,27
2015-11-04,03-Wed,West Lincoln High,213,211,28,103,43,37
2015-11-04,03-Wed,Outer Jefferson H.S.,482,442,104,158,67,113
2015-11-04,03-Wed,Central Washington H.S.,238,222,105,28,30,59
2015-11-04,03-Wed,West Truman H.S.,299,288,42,56,51,139
2015-11-04,03-Wed,Central Jefferson M.S.,413,340,145,4,145,46
2015-11-04,03-Wed,Central Roosevelt M.S.,332,300,114,2,148,36
2015-11-04,03-Wed,West Washington M.S.,148,119,25,54,9,31
2015-11-04,03-Wed,North King High,367,354,197,86,21,50
2015-11-04,03-Wed,South Jefferson H.S.,385,360,99,34,220,7
2015-11-04,03-Wed,North York H.S.,280,275,143,30,24,78
2015-11-04,03-Wed,East Roosevelt H.S.,195,170,12,72,45,41
2015-11-04,03-Wed,South Arthur High,414,339,121,41,111,66
2015-11-04,03-Wed,South Truman H.S.,319,316,59,107,134,16
2015-11-04,03-Wed,East Washington H.S.,212,194,76,72,2,44
2015-11-04,03-Wed,East York High,126,120,39,22,54,5
2015-11-04,03-Wed,South Washington High,332,276,120,19,19,118
2015-11-05,04-Thu,North Roosevelt M.S.,485,460,239,107,71,43
2015-11-05,04-Thu,West Lincoln High,213,203,3,125,31,44
2015-11-05,04-Thu,Outer Jefferson H.S.,482,443,202,204,5,32
2015-11-05,04-Thu,Central Washington H.S.,238,227,92,42,44,49
2015-11-05,04-Thu,West Truman H.S.,299,248,53,5,149,41
2015-11-05,04-Thu,Central Jefferson M.S.,413,377,69,12,162,134
2015-11-05,04-Thu,Central Roosevelt M.S.,332,324,17,52,238,17
2015-11-05,04-Thu,West Washington M.S.,148,129,73,36,1,19
2015-11-05,04-Thu,North King High,367,314,35,96,7,176
2015-11-05,04-Thu,South Jefferson H.S.,385,347,91,66,139,51
2015-11-05,04-Thu,North York H.S.,280,266,88,0,159,19
2015-11-05,04-Thu,East Roosevelt H.S.,195,181,59,88,23,11
2015-11-05,04-Thu,South Arthur High,414,408,8,126,83,191
2015-11-05,04-Thu,South Truman H.S.,319,301,68,45,24,164
2015-11-05,04-Thu,East Washington H.S.,212,196,85,85,2,24
2015-11-05,04-Thu,East York High,126,107,24,20,48,15
2015-11-05,04-Thu,South Washington High,332,322,142,71,83,26
2015-11-06,05-Fri,North Roosevelt M.S.,485,423,222,188,6,7
2015-11-06,05-Fri,West Lincoln High,213,205,45,85,39,36
2015-11-06,05-Fri,Outer Jefferson H.S.,482,478,70,220,99,89
2015-11-06,05-Fri,Central Washington H.S.,238,204,105,2,28,69
2015-11-06,05-Fri,West Truman H.S.,299,251,14,0,152,85
2015-11-06,05-Fri,Central Jefferson M.S.,413,404,141,179,20,64
2015-11-06,05-Fri,Central Roosevelt M.S.,332,325,154,139,13,19
2015-11-06,05-Fri,West Washington M.S.,148,113,19,30,54,10
2015-11-06,05-Fri,North King High,367,330,62,119,24,125
2015-11-06,05-Fri,South Jefferson H.S.,385,366,86,164,44,72
2015-11-06,05-Fri,North York H.S.,280,272,37,39,90,106
2015-11-06,05-Fri,East Roosevelt H.S.,195,170,18,39,66,47
2015-11-06,05-Fri,South Arthur High,414,338,153,66,97,22
2015-11-06,05-Fri,South Truman H.S.,319,284,56,14,103,111
2015-11-06,05-Fri,East Washington H.S.,212,205,93,38,37,37
2015-11-06,05-Fri,East York High,126,110,5,11,91,3
2015-11-06,05-Fri,South Washington High,332,278,12,130,121,15
2015-11-09,01-Mon,North Roosevelt M.S.,485,442,47,139,147,109
2015-11-09,01-Mon,West Lincoln High,213,209,88,98,11,12
2015-11-09,01-Mon,Outer Jefferson H.S.,482,455,269,178,5,3
2015-11-09,01-Mon,Central Washington H.S.,238,186,48,72,6,60
2015-11-09,01-Mon,West Truman H.S.,299,253,129,101,14,9
2015-11-09,01-Mon,Central Jefferson M.S.,413,334,131,104,92,7
2015-11-09,01-Mon,Central Roosevelt M.S.,332,308,88,7,125,88
2015-11-09,01-Mon,West Washington M.S.,148,139,64,13,43,19
2015-11-09,01-Mon,North King High,367,355,56,126,150,23
2015-11-09,01-Mon,South Jefferson H.S.,385,304,153,115,31,5
2015-11-09,01-Mon,North York H.S.,280,268,55,113,41,59
2015-11-09,01-Mon,East Roosevelt H.S.,195,194,113,32,38,11
2015-11-09,01-Mon,South Arthur High,414,397,205,86,11,95
2015-11-09,01-Mon,South Truman H.S.,319,285,28,60,101,96
2015-11-09,01-Mon,East Washington H.S.,212,177,95,74,3,5
2015-11-09,01-Mon,East York High,126,121,15,34,55,17
2015-11-09,01-Mon,South Washington High,332,267,46,43,10,168
2015-11-10,02-Tue,North Roosevelt M.S.,485,425,192,166,4,63
2015-11-10,02-Tue,West Lincoln High,213,205,1,25,126,53
2015-11-10,02-Tue,Outer Jefferson H.S.,482,464,155,77,172,60
2015-11-10,02-Tue,Central Washington H.S.,238,226,30,105,84,7
2015-11-10,02-Tue,West Truman H.S.,299,265,81,7,16,161
2015-11-10,02-Tue,Central Jefferson M.S.,413,375,0,2,314,59
2015-11-10,02-Tue,Central Roosevelt M.S.,332,306,0,97,204,5
2015-11-10,02-Tue,West Washington M.S.,148,139,67,38,25,9
2015-11-10,02-Tue,North King High,367,363,208,15,99,41
2015-11-10,02-Tue,South Jefferson H.S.,385,368,179,79,9,101
2015-11-10,02-Tue,North York H.S.,280,268,43,4,178,43
2015-11-10,02-Tue,East Roosevelt H.S.,195,175,2,62,27,84
2015-11-10,02-Tue,South Arthur High,414,335,118,23,162,32
2015-11-10,02-Tue,South Truman H.S.,319,300,160,38,27,75
2015-11-10,02-Tue,East Washington H.S.,212,185,41,17,126,1
2015-11-10,02-Tue,East York High,126,117,54,30,19,14
2015-11-10,02-Tue,South Washington High,332,272,90,112,16,54
2015-11-11,03-Wed,North Roosevelt M.S.,485,385,156,65,85,79
2015-11-11,03-Wed,West Lincoln High,213,205,47,7,51,100
2015-11-11,03-Wed,Outer Jefferson H.S.,482,451,197,196,21,37
2015-11-11,03-Wed,Central Washington H.S.,238,217,33,48,73,63
2015-11-11,03-Wed,West Truman H.S.,299,253,11,3,12,227
2015-11-11,03-Wed,Central Jefferson M.S.,413,356,143,46,45,122
2015-11-11,03-Wed,Central Roosevelt M.S.,332,300,132,46,74,48
2015-11-11,03-Wed,West Washington M.S.,148,146,49,11,71,15
2015-11-11,03-Wed,North King High,367,319,11,132,70,106
2015-11-11,03-Wed,South Jefferson H.S.,385,337,51,163,54,69
2015-11-11,03-Wed,North York H.S.,280,259,77,33,83,66
2015-11-11,03-Wed,East Roosevelt H.S.,195,187,65,92,17,13
2015-11-11,03-Wed,South Arthur High,414,357,116,115,60,66
2015-11-11,03-Wed,South Truman H.S.,319,280,115,70,49,46
2015-11-11,03-Wed,East Washington H.S.,212,202,116,60,5,21
2015-11-11,03-Wed,East York High,126,120,62,2,53,3
2015-11-11,03-Wed,South Washington High,332,302,4,63,124,111
2015-11-12,04-Thu,North Roosevelt M.S.,485,453,12,67,136,238
2015-11-12,04-Thu,West Lincoln High,213,201,2,111,27,61
2015-11-12,04-Thu,Outer Jefferson H.S.,482,452,30,225,85,112
2015-11-12,04-Thu,Central Washington H.S.,238,236,124,45,20,47
2015-11-12,04-Thu,West Truman H.S.,299,247,59,76,25,87
2015-11-12,04-Thu,Central Jefferson M.S.,413,407,12,91,75,229
2015-11-12,04-Thu,Central Roosevelt M.S.,332,321,37,25,252,7
2015-11-12,04-Thu,West Washington M.S.,148,108,27,4,12,65
2015-11-12,04-Thu,North King High,367,349,48,49,50,202
2015-11-12,04-Thu,South Jefferson H.S.,385,327,136,67,73,51
2015-11-12,04-Thu,North York H.S.,280,270,53,109,61,47
2015-11-12,04-Thu,East Roosevelt H.S.,195,172,83,48,31,10
2015-11-12,04-Thu,South Arthur High,414,345,1,47,146,151
2015-11-12,04-Thu,South Truman H.S.,319,285,89,18,157,21
2015-11-12,04-Thu,East Washington H.S.,212,179,29,15,106,29
2015-11-12,04-Thu,East York High,126,124,35,57,30,2
2015-11-12,04-Thu,South Washington High,332,309,28,49,197,35
2015-11-13,05-Fri,North Roosevelt M.S.,485,405,61,117,68,159
2015-11-13,05-Fri,West Lincoln High,213,206,38,55,11,102
2015-11-13,05-Fri,Outer Jefferson H.S.,482,474,96,186,19,173
2015-11-13,05-Fri,Central Washington H.S.,238,236,127,92,2,15
2015-11-13,05-Fri,West Truman H.S.,299,237,51,49,119,18
2015-11-13,05-Fri,Central Jefferson M.S.,413,411,133,136,31,111
2015-11-13,05-Fri,Central Roosevelt M.S.,332,331,65,29,60,177
2015-11-13,05-Fri,West Washington M.S.,148,111,12,37,43,19
2015-11-13,05-Fri,North King High,367,313,5,132,121,55
2015-11-13,05-Fri,South Jefferson H.S.,385,339,200,127,1,11
2015-11-13,05-Fri,North York H.S.,280,274,65,109,96,4
2015-11-13,05-Fri,East Roosevelt H.S.,195,176,2,60,70,44
2015-11-13,05-Fri,South Arthur High,414,394,156,142,70,26
2015-11-13,05-Fri,South Truman H.S.,319,314,155,131,4,24
2015-11-13,05-Fri,East Washington H.S.,212,198,5,12,169,12
2015-11-13,05-Fri,East York High,126,121,49,53,13,6
2015-11-13,05-Fri,South Washington High,332,291,77,137,26,51
2015-11-16,01-Mon,North Roosevelt M.S.,485,399,1,145,20,233
2015-11-16,01-Mon,West Lincoln High,213,205,60,84,54,7
2015-11-16,01-Mon,Outer Jefferson H.S.,482,459,212,172,9,66
2015-11-16,01-Mon,Central Washington H.S.,238,193,114,20,52,7
2015-11-16,01-Mon,West Truman H.S.,299,293,24,67,28,174
2015-11-16,01-Mon,Central Jefferson M.S.,413,371,200,113,8,50
2015-11-16,01-Mon,Central Roosevelt M.S.,332,293,77,34,8,174
2015-11-16,01-Mon,West Washington M.S.,148,111,35,11,61,4
2015-11-16,01-Mon,North King High,367,321,151,91,25,54
2015-11-16,01-Mon,South Jefferson H.S.,385,292,12,87,157,36
2015-11-16,01-Mon,North York H.S.,280,276,110,96,52,18
2015-11-16,01-Mon,East Roosevelt H.S.,195,168,92,36,13,27
2015-11-16,01-Mon,South Arthur High,414,412,82,35,286,9
2015-11-16,01-Mon,South Truman H.S.,319,283,105,36,35,107
2015-11-16,01-Mon,East Washington H.S.,212,207,6,14,68,119
2015-11-16,01-Mon,East York High,126,123,37,36,9,41
2015-11-16,01-Mon,South Washington High,332,319,121,138,55,5
2015-11-17,02-Tue,North Roosevelt M.S.,485,413,83,136,32,162
2015-11-17,02-Tue,West Lincoln High,213,204,29,81,2,92
2015-11-17,02-Tue,Outer Jefferson H.S.,482,470,21,33,66,350
2015-11-17,02-Tue,Central Washington H.S.,238,198,82,70,38,8
2015-11-17,02-Tue,West Truman H.S.,299,251,59,95,87,10
2015-11-17,02-Tue,Central Jefferson M.S.,413,357,185,21,2,149
2015-11-17,02-Tue,Central Roosevelt M.S.,332,284,122,94,24,44
2015-11-17,02-Tue,West Washington M.S.,148,125,2,11,101,11
2015-11-17,02-Tue,North King High,367,316,0,37,77,202
2015-11-17,02-Tue,South Jefferson H.S.,385,327,79,116,36,96
2015-11-17,02-Tue,North York H.S.,280,279,140,10,97,32
2015-11-17,02-Tue,East Roosevelt H.S.,195,181,90,84,3,4
2015-11-17,02-Tue,South Arthur High,414,340,108,26,63,143
2015-11-17,02-Tue,South Truman H.S.,319,291,53,15,165,58
2015-11-17,02-Tue,East Washington H.S.,212,180,30,53,48,49
2015-11-17,02-Tue,East York High,126,120,14,56,45,5
2015-11-17,02-Tue,South Washington High,332,327,151,108,57,11
2015-11-18,03-Wed,North Roosevelt M.S.,485,474,236,187,3,48
2015-11-18,03-Wed,West Lincoln High,213,204,11,7,123,63
2015-11-18,03-Wed,Outer Jefferson H.S.,482,476,134,29,258,55
2015-11-18,03-Wed,Central Washington H.S.,238,190,30,36,39,85
2015-11-18,03-Wed,West Truman H.S.,299,287,70,101,5,111
2015-11-18,03-Wed,Central Jefferson M.S.,413,379,129,136,10,104
2015-11-18,03-Wed,Central Roosevelt M.S.,332,295,127,146,9,13
2015-11-18,03-Wed,West Washington M.S.,148,123,72,27,0,24
2015-11-18,03-Wed,North King High,367,313,84,32,131,66
2015-11-18,03-Wed,South Jefferson H.S.,385,364,67,1,27,269
2015-11-18,03-Wed,North York H.S.,280,279,64,118,72,25
2015-11-18,03-Wed,East Roosevelt H.S.,195,179,7,10,54,108
2015-11-18,03-Wed,South Arthur High,414,359,188,152,15,4
2015-11-18,03-Wed,South Truman H.S.,319,309,76,81,60,92
2015-11-18,03-Wed,East Washington H.S.,212,187,108,59,11,9
2015-11-18,03-Wed,East York High,126,121,65,40,12,4
2015-11-18,03-Wed,South Washington High,332,321,60,83,122,56
2015-11-19,04-Thu,North Roosevelt M.S.,485,483,246,157,48,32
2015-11-19,04-Thu,West Lincoln High,213,204,7,128,32,37
2015-11-19,04-Thu,Outer Jefferson H.S.,482,452,229,57,2,164
2015-11-19,04-Thu,Central Washington H.S.,238,224,132,24,42,26
2015-11-19,04-Thu,West Truman H.S.,299,254,60,75,25,94
2015-11-19,04-Thu,Central Jefferson M.S.,413,339,25,135,116,63
2015-11-19,04-Thu,Central Roosevelt M.S.,332,294,52,138,40,64
2015-11-19,04-Thu,West Washington M.S.,148,136,65,11,51,9
2015-11-19,04-Thu,North King High,367,337,181,149,1,6
2015-11-19,04-Thu,South Jefferson H.S.,385,347,52,137,142,16
2015-11-19,04-Thu,North York H.S.,280,268,0,50,121,97
2015-11-19,04-Thu,East Roosevelt H.S.,195,185,83,77,11,14
2015-11-19,04-Thu,South Arthur High,414,374,78,13,192,91
2015-11-19,04-Thu,South Truman H.S.,319,311,119,130,56,6
2015-11-19,04-Thu,East Washington H.S.,212,192,37,11,19,125
2015-11-19,04-Thu,East York High,126,118,70,25,4,19
2015-11-19,04-Thu,South Washington High,332,297,90,76,23,108
2015-11-20,05-Fri,North Roosevelt M.S.,485,428,125,77,170,56
2015-11-20,05-Fri,West Lincoln High,213,212,59,13,86,54
2015-11-20,05-Fri,Outer Jefferson H.S.,482,455,88,23,250,94
2015-11-20,05-Fri,Central Washington H.S.,238,220,51,87,76,6
2015-11-20,05-Fri,West Truman H.S.,299,252,73,48,96,35
2015-11-20,05-Fri,Central Jefferson M.S.,413,394,111,145,53,85
2015-11-20,05-Fri,Central Roosevelt M.S.,332,281,35,26,44,176
2015-11-20,05-Fri,West Washington M.S.,148,109,22,47,4,36
2015-11-20,05-Fri,North King High,367,332,71,126,81,54
2015-11-20,05-Fri,South Jefferson H.S.,385,323,20,151,47,105
2015-11-20,05-Fri,North York H.S.,280,266,14,127,96,29
2015-11-20,05-Fri,East Roosevelt H.S.,195,190,18,8,36,128
2015-11-20,05-Fri,South Arthur High,414,372,214,33,110,15
2015-11-20,05-Fri,South Truman H.S.,319,303,26,46,49,182
2015-11-20,05-Fri,East Washington H.S.,212,205,102,86,6,11
2015-11-20,05-Fri,East York High,126,111,29,35,19,28
2015-11-20,05-Fri,South Washington High,332,326,161,18,48,99
2015-11-23,01-Mon,North Roosevelt M.S.,485,404,118,182,85,19
2015-11-23,01-Mon,West Lincoln High,213,208,66,60,80,2
2015-11-23,01-Mon,Outer Jefferson H.S.,482,439,102,33,186,118
2015-11-23,01-Mon,Central Washington H.S.,238,205,47,85,10,63
2015-11-23,01-Mon,West Truman H.S.,299,286,168,78,33,7
2015-11-23,01-Mon,Central Jefferson M.S.,413,386,149,34,57,146
2015-11-23,01-Mon,Central Roosevelt M.S.,332,289,127,26,29,107
2015-11-23,01-Mon,West Washington M.S.,148,140,79,24,16,21
2015-11-23,01-Mon,North King High,367,365,205,13,103,44
2015-11-23,01-Mon,South Jefferson H.S.,385,301,32,129,95,45
2015-11-23,01-Mon,North York H.S.,280,256,19,56,44,137
2015-11-23,01-Mon,East Roosevelt H.S.,195,192,84,48,52,8
2015-11-23,01-Mon,South Arthur High,414,342,18,143,118,63
2015-11-23,01-Mon,South Truman H.S.,319,309,170,37,66,36
2015-11-23,01-Mon,East Washington H.S.,212,203,103,92,6,2
2015-11-23,01-Mon,East York High,126,118,49,2,37,30
2015-11-23,01-Mon,South Washington High,332,279,136,104,24,15
2015-11-24,02-Tue,North Roosevelt M.S.,485,392,47,183,120,42
2015-11-24,02-Tue,West Lincoln High,213,208,83,75,34,16
2015-11-24,02-Tue,Outer Jefferson H.S.,482,467,158,183,80,46
2015-11-24,02-Tue,Central Washington H.S.,238,194,105,75,7,7
2015-11-24,02-Tue,West Truman H.S.,299,275,119,88,31,37
2015-11-24,02-Tue,Central Jefferson M.S.,413,368,22,143,35,168
2015-11-24,02-Tue,Central Roosevelt M.S.,332,325,153,100,41,31
2015-11-24,02-Tue,West Washington M.S.,148,115,57,8,39,11
2015-11-24,02-Tue,North King High,367,364,96,109,4,155
2015-11-24,02-Tue,South Jefferson H.S.,385,291,155,84,24,28
2015-11-24,02-Tue,North York H.S.,280,259,141,42,11,65
2015-11-24,02-Tue,East Roosevelt H.S.,195,184,0,35,61,88
2015-11-24,02-Tue,South Arthur High,414,386,108,104,157,17
2015-11-24,02-Tue,South Truman H.S.,319,293,66,95,65,67
2015-11-24,02-Tue,East Washington H.S.,212,203,47,30,19,107
2015-11-24,02-Tue,East York High,126,107,4,24,62,17
2015-11-24,02-Tue,South Washington High,332,272,104,11,81,76
2015-11-25,03-Wed,North Roosevelt M.S.,485,391,121,91,35,144
2015-11-25,03-Wed,West Lincoln High,213,207,11,73,1,122
2015-11-25,03-Wed,Outer Jefferson H.S.,482,444,126,87,4,227
2015-11-25,03-Wed,Central Washington H.S.,238,183,73,62,31,17
2015-11-25,03-Wed,West Truman H.S.,299,247,51,1,192,3
2015-11-25,03-Wed,Central Jefferson M.S.,413,375,43,35,252,45
2015-11-25,03-Wed,Central Roosevelt M.S.,332,305,75,45,141,44
2015-11-25,03-Wed,West Washington M.S.,148,139,34,44,36,25
2015-11-25,03-Wed,North King High,367,334,159,142,15,18
2015-11-25,03-Wed,South Jefferson H.S.,385,297,105,23,15,154
2015-11-25,03-Wed,North York H.S.,280,263,13,37,114,99
2015-11-25,03-Wed,East Roosevelt H.S.,195,183,87,61,28,7
2015-11-25,03-Wed,South Arthur High,414,349,29,6,173,141
2015-11-25,03-Wed,South Truman H.S.,319,305,59,101,69,76
2015-11-25,03-Wed,East Washington H.S.,212,181,12,44,122,3
2015-11-25,03-Wed,East York High,126,121,38,3,16,64
2015-11-25,03-Wed,South Washington High,332,293,108,87,95,3
2015-11-26,04-Thu,North Roosevelt M.S.,485,400,75,6,217,102
2015-11-26,04-Thu,West Lincoln High,213,204,21,113,28,42
2015-11-26,04-Thu,Outer Jefferson H.S.,482,473,28,135,179,131
2015-11-26,04-Thu,Central Washington H.S.,238,189,52,1,35,101
2015-11-26,04-Thu,West Truman H.S.,299,281,96,26,46,113
2015-11-26,04-Thu,Central Jefferson M.S.,413,348,92,161,27,68
2015-11-26,04-Thu,Central Roosevelt M.S.,332,312,68,9,1,234
2015-11-26,04-Thu,West Washington M.S.,148,124,65,21,17,21
2015-11-26,04-Thu,North King High,367,342,123,140,31,48
2015-11-26,04-Thu,South Jefferson H.S.,385,361,21,174,72,94
2015-11-26,04-Thu,North York H.S.,280,257,74,99,69,15
2015-11-26,04-Thu,East Roosevelt H.S.,195,178,26,32,23,97
2015-11-26,04-Thu,South Arthur High,414,345,168,158,8,11
2015-11-26,04-Thu,South Truman H.S.,319,290,28,94,157,11
2015-11-26,04-Thu,East Washington H.S.,212,187,69,76,30,12
2015-11-26,04-Thu,East York High,126,125,38,4,17,66
2015-11-26,04-Thu,South Washington High,332,305,174,52,31,48
2015-11-27,05-Fri,North Roosevelt M.S.,485,483,200,55,108,120
2015-11-27,05-Fri,West Lincoln High,213,209,84,8,51,66
2015-11-27,05-Fri,Outer Jefferson H.S.,482,481,118,121,220,22
2015-11-27,05-Fri,Central Washington H.S.,238,235,26,102,17,90
2015-11-27,05-Fri,West Truman H.S.,299,292,148,20,56,68
2015-11-27,05-Fri,Central Jefferson M.S.,413,409,84,176,42,107
2015-11-27,05-Fri,Central Roosevelt M.S.,332,296,93,16,70,117
2015-11-27,05-Fri,West Washington M.S.,148,140,59,18,12,51
2015-11-27,05-Fri,North King High,367,311,55,20,176,60
2015-11-27,05-Fri,South Jefferson H.S.,385,353,154,33,65,101
2015-11-27,05-Fri,North York H.S.,280,270,86,32,5,147
2015-11-27,05-Fri,East Roosevelt H.S.,195,184,34,31,105,14
2015-11-27,05-Fri,South Arthur High,414,398,109,79,145,65
2015-11-27,05-Fri,South Truman H.S.,319,297,80,47,100,70
2015-11-27,05-Fri,East Washington H.S.,212,194,75,65,29,25
2015-11-27,05-Fri,East York High,126,123,30,29,14,50
2015-11-27,05-Fri,South Washington High,332,258,65,41,131,21
2015-11-30,01-Mon,North Roosevelt M.S.,485,419,147,200,24,48
2015-11-30,01-Mon,West Lincoln High,213,202,25,31,125,21
2015-11-30,01-Mon,Outer Jefferson H.S.,482,440,168,112,107,53
2015-11-30,01-Mon,Central Washington H.S.,238,223,32,104,24,63
2015-11-30,01-Mon,West Truman H.S.,299,294,135,145,2,12
2015-11-30,01-Mon,Central Jefferson M.S.,413,334,122,136,23,53
2015-11-30,01-Mon,Central Roosevelt M.S.,332,328,65,115,126,22
2015-11-30,01-Mon,West Washington M.S.,148,133,15,8,58,52
2015-11-30,01-Mon,North King High,367,351,153,87,48,63
2015-11-30,01-Mon,South Jefferson H.S.,385,311,12,73,101,125
2015-11-30,01-Mon,North York H.S.,280,269,161,20,46,42
2015-11-30,01-Mon,East Roosevelt H.S.,195,184,16,64,98,6
2015-11-30,01-Mon,South Arthur High,414,325,16,138,130,41
2015-11-30,01-Mon,South Truman H.S.,319,296,143,29,87,37
2015-11-30,01-Mon,East Washington H.S.,212,191,112,69,0,10
2015-11-30,01-Mon,East York High,126,123,11,57,19,36
2015-11-30,01-Mon,South Washington High,332,331,123,101,66,41
2015-12-01,02-Tue,North Roosevelt M.S.,485,400,52,72,5,271
2015-12-01,02-Tue,West Lincoln High,213,211,9,78,69,55
2015-12-01,02-Tue,Outer Jefferson H.S.,482,449,213,12,82,142
2015-12-01,02-Tue,Central Washington H.S.,238,192,96,39,8,49
2015-12-01,02-Tue,West Truman H.S.,299,287,143,21,116,7
2015-12-01,02-Tue,Central Jefferson M.S.,413,400,210,163,18,9
2015-12-01,02-Tue,Central Roosevelt M.S.,332,324,110,159,11,44
2015-12-01,02-Tue,West Washington M.S.,148,111,62,19,25,5
2015-12-01,02-Tue,North King High,367,316,62,31,47,176
2015-12-01,02-Tue,South Jefferson H.S.,385,342,161,75,70,36
2015-12-01,02-Tue,North York H.S.,280,261,31,65,100,65
2015-12-01,02-Tue,East Roosevelt H.S.,195,183,107,35,21,20
2015-12-01,02-Tue,South Arthur High,414,394,94,57,104,139
2015-12-01,02-Tue,South Truman H.S.,319,290,26,55,68,141
2015-12-01,02-Tue,East Washington H.S.,212,207,47,103,20,37
2015-12-01,02-Tue,East York High,126,115,51,33,19,12
2015-12-01,02-Tue,South Washington High,332,283,122,45,70,46
2015-12-02,03-Wed,North Roosevelt M.S.,485,474,36,34,348,56
2015-12-02,03-Wed,West Lincoln High,213,209,82,32,35,60
2015-12-02,03-Wed,Outer Jefferson H.S.,482,444,90,19,80,255
2015-12-02,03-Wed,Central Washington H.S.,238,200,118,74,1,7
2015-12-02,03-Wed,West Truman H.S.,299,252,127,83,29,13
2015-12-02,03-Wed,Central Jefferson M.S.,413,369,27,61,27,254
2015-12-02,03-Wed,Central Roosevelt M.S.,332,280,159,14,103,4
2015-12-02,03-Wed,West Washington M.S.,148,119,69,22,12,16
2015-12-02,03-Wed,North King High,367,310,56,62,43,149
2015-12-02,03-Wed,South Jefferson H.S.,385,341,47,8,107,179
2015-12-02,03-Wed,North York H.S.,280,275,162,27,72,14
2015-12-02,03-Wed,East Roosevelt H.S.,195,176,94,67,1,14
2015-12-02,03-Wed,South Arthur High,414,362,133,120,105,4
2015-12-02,03-Wed,South Truman H.S.,319,287,37,111,74,65
2015-12-02,03-Wed,East Washington H.S.,212,183,71,80,14,18
2015-12-02,03-Wed,East York High,126,107,13,10,64,20
2015-12-02,03-Wed,South Washington High,332,327,107,12,157,51
2015-12-03,04-Thu,North Roosevelt M.S.,485,434,199,108,59,68
2015-12-03,04-Thu,West Lincoln High,213,210,13,120,30,47
2015-12-03,04-Thu,Outer Jefferson H.S.,482,465,103,136,105,121
2015-12-03,04-Thu,Central Washington H.S.,238,201,60,33,60,48
2015-12-03,04-Thu,West Truman H.S.,299,245,104,50,10,81
2015-12-03,04-Thu,Central Jefferson M.S.,413,357,2,151,55,149
2015-12-03,04-Thu,Central Roosevelt M.S.,332,300,104,132,6,58
2015-12-03,04-Thu,West Washington M.S.,148,123,53,24,32,14
2015-12-03,04-Thu,North King High,367,335,130,115,7,83
2015-12-03,04-Thu,South Jefferson H.S.,385,344,152,167,19,6
2015-12-03,04-Thu,North York H.S.,280,268,147,113,6,2
2015-12-03,04-Thu,East Roosevelt H.S.,195,169,69,65,19,16
2015-12-03,04-Thu,South Arthur High,414,398,75,4,290,29
2015-12-03,04-Thu,South Truman H.S.,319,290,8,93,181,8
2015-12-03,04-Thu,East Washington H.S.,212,208,14,88,19,87
2015-12-03,04-Thu,East York High,126,108,11,27,63,7
2015-12-03,04-Thu,South Washington High,332,327,98,79,74,76
2015-12-04,05-Fri,North Roosevelt M.S.,485,398,170,154,35,39
2015-12-04,05-Fri,West Lincoln High,213,202,119,59,10,14
2015-12-04,05-Fri,Outer Jefferson H.S.,482,444,14,189,141,100
2015-12-04,05-Fri,Central Washington H.S.,238,206,77,59,16,54
2015-12-04,05-Fri,West Truman H.S.,299,252,141,62,40,9
2015-12-04,05-Fri,Central Jefferson M.S.,413,355,62,165,57,71
2015-12-04,05-Fri,Central Roosevelt M.S.,332,301,145,47,85,24
2015-12-04,05-Fri,West Washington M.S.,148,139,32,31,0,76
2015-12-04,05-Fri,North King High,367,335,14,49,21,251
2015-12-04,05-Fri,South Jefferson H.S.,385,323,22,61,22,218
2015-12-04,05-Fri,North York H.S.,280,256,94,84,27,51
2015-12-04,05-Fri,East Roosevelt H.S.,195,172,43,71,12,46
2015-12-04,05-Fri,South Arthur High,414,375,115,23,23,214
2015-12-04,05-Fri,South Truman H.S.,319,289,142,132,3,12
2015-12-04,05-Fri,East Washington H.S.,212,206,56,83,6,61
2015-12-04,05-Fri,East York High,126,122,27,24,50,21
2015-12-04,05-Fri,South Washington High,332,297,80,44,141,32
2015-12-07,01-Mon,North Roosevelt M.S.,485,402,174,168,9,51
2015-12-07,01-Mon,West Lincoln High,213,207,14,76,19,98
2015-12-07,01-Mon,Outer Jefferson H.S.,482,448,10,17,164,257
2015-12-07,01-Mon,Central Washington H.S.,238,209,50,24,33,102
2015-12-07,01-Mon,West Truman H.S.,299,284,45,78,42,119
2015-12-07,01-Mon,Central Jefferson M.S.,413,356,90,115,109,42
2015-12-07,01-Mon,Central Roosevelt M.S.,332,318,121,153,13,31
2015-12-07,01-Mon,West Washington M.S.,148,119,13,45,28,33
2015-12-07,01-Mon,North King High,367,328,8,21,130,169
2015-12-07,01-Mon,South Jefferson H.S.,385,319,101,86,73,59
2015-12-07,01-Mon,North York H.S.,280,269,93,106,34,36
2015-12-07,01-Mon,East Roosevelt H.S.,195,192,72,74,28,18
2015-12-07,01-Mon,South Arthur High,414,332,70,129,132,1
